Task Description,Date,Duration,Week,Total Week Hours,Notes/Comments
"Model Enhancement and Route Creation: Removed the 'active' field from the user model and introduced 'accountActive' and 'currentlyActive' fields. Additionally, a new route in userRoutes.js and the corresponding controller function in userController.js were established to retrieve all active users with whom a user has chatted.",10/21/2023,1:01:21,10/16/2023 – 10/22/2023,19:54:21,
"Controller Function Modification: Adapted the login and logout controller functions in authController.js to manage the user's 'currentlyActive' status, setting it as active during login and inactive during logout.",10/21/2023,0:06:29,10/16/2023 – 10/22/2023,19:54:21,
"Socket.io Server Enhancement in server.js: Expanded the Socket.io setup to maintain a list of active users, implemented logic to handle manual disconnects from the client side (e.g., when a user closes the browser or tab without logging out), managed user details provided after connecting, set the user's 'currentlyActive' status to true upon connection and false upon disconnection for improved user tracking.",10/21/2023,0:48:19,10/16/2023 – 10/22/2023,19:54:21,
Chat.jsx Enhancement: Upgraded the Chat.jsx component to fetch currently active users and dynamically render them within the chat interface.,10/21/2023,0:07:49,10/16/2023 – 10/22/2023,19:54:21,
"Backend Socket Logic Refactoring: Reorganized the socket-related logic within the backend, isolating it into a separate module (socketSetup.js) to enhance structural clarity and maintainability.",10/22/2023,0:11:22,10/16/2023 – 10/22/2023,19:54:21,
"Socket Middleware Development (backend): Crafted a socket middleware module (socketMiddleware.js) within the backend to emit socket events corresponding to specific actions, enhancing real-time communication and interaction.",10/22/2023,0:45:27,10/16/2023 – 10/22/2023,19:54:21,
"Controller Function Adjustment (chatController.js) with Middleware Integration: Modified the 'createChat' controller function within chatController.js to retrieve complete user objects, store the populated chat, and the action type in res.locals. This setup facilitates the subsequent middleware (socketMiddleware.js) in emitting the event of chat creation effectively.",10/22/2023,0:15:12,10/16/2023 – 10/22/2023,19:54:21,
"SocketMiddleware Integration in Chat Creation: Enhanced the route responsible for creating new chats to utilize the newly implemented socketMiddleware, ensuring the emission of chat creation events.",10/22/2023,0:00:36,10/16/2023 – 10/22/2023,19:54:21,
"Socket.io Setup Debugging: Debugged and streamlined the code logic across socketSetup.js, socketMiddleware.js, and server.js to address various issues, particularly the initialization problem with Socket.io in server.js, ensuring the smooth operation of Socket.io within the application.",10/23/2023,3:23:35,10/23/2023 – 10/29/2023,17:09:53,
"ChatSlice Enhancement: Updated the chatSlice in Redux to ensure that new chats are added to the start of the array, providing recipients with the most recent chat at the top of their chat list in real-time.",10/23/2023,0:00:26,10/23/2023 – 10/29/2023,17:09:53,
"Frontend Socket Listeners: Introduced listeners within SocketContext.jsx on the frontend to detect changes in the active users list and to respond to new chat initiations by other users, enhancing real-time communication and interaction.",10/23/2023,0:14:12,10/23/2023 – 10/29/2023,17:09:53,
"Active Users Redux Slice: Developed an activeUsersSlice within Redux to effectively monitor and maintain a real-time record of active users, enhancing dynamic data updates.",10/23/2023,0:09:17,10/23/2023 – 10/29/2023,17:09:53,
"SocketContext Integration in Chat Component: Integrated SocketContext within the Chat component to establish event listeners, ensuring real-time active user display and new chats.",10/23/2023,0:12:35,10/23/2023 – 10/29/2023,17:09:53,
Code Optimization in server.js: Conducted code optimization in server.js by removing redundant and unnecessary code segments for improved efficiency and clarity.,10/25/2023,0:01:25,10/23/2023 – 10/29/2023,17:09:53,
"Error Handling and Reconnection Logic: Thoroughly implemented error handling in both server and client sides (socketSetup.js & SocketContext.jsx) to address potential socket connection issues. Additionally, on the client side, incorporated intelligent reconnection logic to automatically re-establish connections after unexpected disconnections and refresh the list of active users for uninterrupted user interactions.",10/25/2023,0:34:27,10/23/2023 – 10/29/2023,17:09:53,
"Reconnection Logic Refinement: Conducted testing and debugging to fine-tune the reconnection logic, ensuring robust and reliable behavior in the face of network interruptions.",10/25/2023,0:26:31,10/23/2023 – 10/29/2023,17:09:53,
"Socket Middleware Code Refactoring: Streamlined the code within socketMiddleware.js by organizing it for improved readability and maintainability. Additionally, introduced a new emit event function to manage the handling of new messages, enhancing code structure and clarity.",10/25/2023,0:26:43,10/23/2023 – 10/29/2023,17:09:53,
Controller Function Enhancement and Middleware Integration: Improved the createMessage and getChatMessages controller functions within messageController.js for enhanced functionality. Integrated the socketMiddleware in messageRoutes.js to optimize real-time message handling.,10/25/2023,0:24:13,10/23/2023 – 10/29/2023,17:09:53,
"Client-Side Socket Event Listener: Introduced a new event listener for detecting and handling incoming new messages within SocketContext.jsx, enhancing real-time message interaction on the client side.",10/25/2023,0:02:21,10/23/2023 – 10/29/2023,17:09:53,
"Message Slice Creation: Developed a message slice within Redux to effectively manage and display messages in real-time, improving the overall user experience.",10/25/2023,0:28:13,10/23/2023 – 10/29/2023,17:09:53,
"Chat Component Enhancement: Enhanced the chat component to fetch the message history of the current chat, facilitate message sending, and efficiently render messages in the user interface, improving the chat functionality.",10/25/2023,1:12:32,10/23/2023 – 10/29/2023,17:09:53,
"Debugging and Logic Streamlining: Detected and corrected an error in the event function for handling new messages, requiring a debugging effort. Successfully streamlined the logic across both the server and client sides for improved functionality.",10/25/2023,0:51:22,10/23/2023 – 10/29/2023,17:09:53,
"Timestamp Formatting and Styling: Created a function to format timestamps into a readable format and integrated it into the JSX to display the date and time of each message. Additionally, added CSS styling for the timestamps to enhance their visual presentation.",10/27/2023,0:18:37,10/23/2023 – 10/29/2023,17:09:53,
"Chat Sorting Logic Enhancement: Incorporated the missing logic to update the 'lastMessageTimestamp' of the chat, ensuring that the chats in the chat list are accurately sorted based on new messages.",10/27/2023,0:04:12,10/23/2023 – 10/29/2023,17:09:53,
"Chat List Sorting Action and Dispatch: Implemented an action to move a chat to the top of the list within the chat slice, enabling real-time chat list sorting. Dispatched this action in both the 'new-message' event listener in SocketContext.jsx (for receiving messages) and the handleSendMessage function in Chat.jsx (for sending messages) to ensure consistent chat list updates.",10/27/2023,0:18:22,10/23/2023 – 10/29/2023,17:09:53,
React-Spring Integration: Delved into documentation and tutorials on React-Spring to gain a comprehensive understanding of the library.,10/27/2023,0:38:12,10/23/2023 – 10/29/2023,17:09:53,
UI Animation Enhancement: Leveraged React-Spring to introduce animations within the chat user interface elevating the overall user experience.,10/27/2023,0:11:13,10/23/2023 – 10/29/2023,17:09:53,
Online Status Indicators: Implemented active indicators alongside users' avatars in the chat list.,10/27/2023,0:09:23,10/23/2023 – 10/29/2023,17:09:53,
"Controller Function Enhancement:  Improved the 'listChatsForUser' controller function in chatController.js by adding logic to loop through each chat and fetch the most recent message, ensuring that chat lists display the latest information for enhanced user engagement.",10/27/2023,0:08:37,10/23/2023 – 10/29/2023,17:09:53,
"Real-Time Chat Previews:  Introduced an action within chatSlice to update the most recent message for a chat and dispatched it for both sending and receiving messages. This implementation enables the display of real-time previews of recent messages, enhancing user interactions.",10/27/2023,0:07:28,10/23/2023 – 10/29/2023,17:09:53,
"Recent Message Preview:  Elevated the user experience by updating the JSX in Chat.jsx to showcase previews of the most recent message in each chat item within the chat list. Additionally, introduced CSS styles to enhance the visual presentation of these previews.",10/27/2023,0:07:53,10/23/2023 – 10/29/2023,17:09:53,
"Message Model Expansion: Expanded the message model by introducing new fields: 'imageUrl' for image attachments, 'delivered' to track message delivery, and 'read' to monitor message read status.",10/28/2023,0:00:47,10/23/2023 – 10/29/2023,17:09:53,
Socket Functions Enhancement: Introduced two new functions within socketSetup.js to facilitate marking a single message as 'read' and to enable marking multiple messages as 'read'.,10/28/2023,0:47:17,10/23/2023 – 10/29/2023,17:09:53,
"Controller Function Refactoring and Expansion: In messageController.js, I refined the 'createMessage' controller, renaming it to 'createTextMessage' to enhance clarity. Additionally, I introduced two new controller functions: 'createImageMessage' to manage messages with image uploads and 'getUnreadMessages' for retrieving all unread messages within a specific chat. To support these additions, I configured corresponding message routes.",10/28/2023,1:38:28,10/23/2023 – 10/29/2023,17:09:53,
Chat Creation Function Enhancement: Enhanced the 'createChat' function in chatController.js to include logic for counting unread messages and identifying the other user within a chat. This improvement streamlines chat management and ensures accurate unread message tracking.,10/28/2023,0:45:52,10/23/2023 – 10/29/2023,17:09:53,
"Real-Time Message Read Marking: Introduced a new action in the Redux message slice to enable the instant marking of messages as 'read' upon their reading by the other user in a chat, enhancing real-time message tracking and user experience.",10/29/2023,0:22:16,10/23/2023 – 10/29/2023,17:09:53,
"Redux Chat Slice Enhancement: Strengthened the Redux chat slice to maintain a record of unread messages, allowing for a visual representation of unread message counts in the user interface. This improvement involved the introduction of a new action to increment the unread message count for a specific chat and updates to the 'setCurrentChat' action to reset the unread message count when a user selects a chat with unread messages, ensuring accurate tracking and user interaction.",10/29/2023,0:34:21,10/23/2023 – 10/29/2023,17:09:53,
"Socket Event Handling Update: Enhanced SocketContext.jsx to include event listeners for managing messages marked as 'read,' ensuring seamless real-time updates and synchronization with message read status.",10/29/2023,0:11:36,10/23/2023 – 10/29/2023,17:09:53,
"Chat UI and Functionality Refinements: In Chat.jsx, a comprehensive set of enhancements was implemented to enrich both functionality and user experience. These updates encompass the introduction of features such as fetching and marking unread messages as 'read' within the current chat, streamlined image message uploads facilitated by Cloudinary and multer on the backend, and the integration of Emoji Mart for emoji selection. Users can now effortlessly filter chats based on search terms in the search bar, ensuring quick access to specific conversations. Additionally, a modal mode was introduced for convenient image viewing, and transitions powered by react-spring, collectively delivering an elevated and polished user experience.",10/29/2023,2:17:27,10/23/2023 – 10/29/2023,17:09:53,
